Medal,Name,Sport,Event,Date
Gold,Saikhom Mirabai Chanu,Weightlifting,Women's 49 kg,30-07-2022
Gold,Jeremy Lalrinnunga,Weightlifting,Men's 67 kg,31-07-2022
Gold,Achinta Sheuli,Weightlifting,Men's 73 kg,31-07-2022
Gold,Rupa Rani TirkeyNayanmoni SaikiaLovely ChoubeyPinki Singh,Lawn bowls,Women's fours,02-08-2022
Gold,Harmeet DesaiSanil ShettySharath AchantaSathiyan Gnanasekaran,Table tennis,Men's team,02-08-2022
Gold,Sudhir,Para powerlifting,Men's heavyweight,04-08-2022
Gold,Bajrang Punia,Wrestling,Men's freestyle 65 kg,05-08-2022
Gold,Sakshi Malik,Wrestling,Women's freestyle 62 kg,05-08-2022
Gold,Deepak Punia,Wrestling,Men's freestyle 86 kg,05-08-2022
Gold,Ravi Kumar Dahiya,Wrestling,Men's freestyle 57 kg,06-08-2022
Gold,Vinesh Phogat,Wrestling,Women's freestyle 53 kg,06-08-2022
Gold,Naveen Malik,Wrestling,Men's freestyle 74 kg,06-08-2022
Gold,Bhavina Patel,Table tennis,Women's singles C3–5,06-08-2022
Gold,Nitu Ghanghas,Boxing,Women's 48 kg,07-08-2022
Gold,Amit Panghal,Boxing,Men's 51 kg,07-08-2022
Gold,Eldhose Paul,Athletics,Men's triple jump,07-08-2022
Gold,Nikhat Zareen,Boxing,Women's 50 kg,07-08-2022
Gold,"Sharath Achanta
Sreeja Akula",Table tennis,Mixed doubles,07-08-2022
Gold,P. V. Sindhu,Badminton,Women's singles,08-08-2022
Gold,Lakshya Sen,Badminton,Men’s singles,08-08-2022
Gold,"Chirag Shetty
Satwiksairaj Rankireddy",Badminton,Men’s doubles,08-08-2022
Gold,Sharath Achanta,Table tennis,Men's singles,08-08-2022
Silver,Sanket Sargar,Weightlifting,Men's 55 kg,30-07-2022
Silver,Bindyarani Devi,Weightlifting,Women's 55 kg,30-07-2022
Silver,Shushila Likmabam,Judo,Women's 48 kg,01-08-2022
Silver,Vikas Thakur,Weightlifting,Men's 96 kg,02-08-2022
Silver,"India badminton team
Srikanth KidambiSatwiksairaj RankireddyB. Sumeeth ReddyLakshya SenChirag ShettyGayathri GopichandTreesa JollyAakarshi KashyapAshwini PonnappaP. V. Sindhu",Badminton,Mixed team,02-08-2022
Silver,Tulika Maan,Judo,Women's +78 kg,03-08-2022
Silver,Murali Sreeshankar,Athletics,Men's long jump,04-08-2022
Silver,Anshu Malik,Wrestling,Women's freestyle 57 kg,05-08-2022
Silver,Priyanka Goswami,Athletics,"Women's 10,000 m walk",06-08-2022
Silver,Avinash Sable,Athletics,Men's 3000 m steeplechase,06-08-2022
Silver,Sunil BahadurNavneet SinghChandan SinghDinesh Kumar,Lawn bowls,Men's fours,06-08-2022
Silver,Abdulla Aboobacker,Athletics,Men's triple jump,07-08-2022
Silver,"Sathiyan Gnanasekaran
Sharath Achanta",Table tennis,Men's doubles,07-08-2022
