Sr.No,Rank,Country,Gold,Silver,Bronze,Total
1,1,Australia,67,57,54,178
2,2,England,57,66,53,176
3,3,Canada,26,32,34,92
4,4,India,22,16,23,61
5,5,New Zealand,20,12,17,49
6,6,Scotland,13,11,27,51
7,7,Nigeria,12,9,14,35
8,8,Wales,8,6,14,28
9,9,South Africa,7,9,11,27
10,10,Malaysia,7,8,8,23
11,11,Northern Ireland,7,7,4,18
12,12,Jamaica,6,6,3,15
13,13,Kenya,6,5,10,21
14,14,Singapore,4,4,4,12
15,15,Trinidad and Tobago,3,2,1,6
16,16,Uganda,3,0,2,5
17,17,Cyprus,2,3,6,11
18,18,Pakistan,2,3,3,8
19,19,Samoa,1,4,0,5
20,20,Barbados,1,1,1,3
21,20,Cameroon,1,1,1,3
22,20,Zambia,1,1,1,3
23,23,Bahamas,1,1,0,2
24,23,Grenada,1,1,0,2
25,25,Bermuda,1,0,1,2
26,26,British Virgin Islands,1,0,0,1
27,27,Mauritius,0,3,2,5
28,28,Ghana,0,2,3,5
29,29,Fiji,0,2,2,4
30,30,Mozambique,0,2,1,3
31,31,Sri Lanka,0,1,3,4
32,32,Tanzania,0,1,2,3
33,33,Botswana,0,1,1,2
34,33,Guernsey,0,1,1,2
35,35,Dominica,0,1,0,1
36,35,Papua New Guinea,0,1,0,1
37,35,Saint Lucia,0,1,0,1
38,35,The Gambia,0,1,0,1
39,39,Namibia,0,0,4,4
40,40,Malta,0,0,1,1
41,40,Nauru,0,0,1,1
42,40,Niue,0,0,1,1
43,40,Vanuatu,0,0,1,1
